Step	Loss	Loss per Cell	 Change 
1	15013790720.000000	216808.765625	216808.765625
2	14756981760.000000	213100.281250	3708.484375
3	14576317440.000000	210491.375000	2608.906250
4	14427914240.000000	208348.343750	2143.031250
5	14298355712.000000	206477.437500	1870.906250
6	14181397504.000000	204788.484375	1688.953125
7	14073526272.000000	203230.750000	1557.734375
8	13972562944.000000	201772.781250	1457.968750
9	13877045248.000000	200393.437500	1379.343750
10	13786092544.000000	199080.031250	1313.406250
11	13698696192.000000	197817.968750	1262.062500
12	13614163968.000000	196597.265625	1220.703125
13	13532525568.000000	195418.359375	1178.906250
14	13453163520.000000	194272.312500	1146.046875
15	13375833088.000000	193155.609375	1116.703125
16	13300183040.000000	192063.171875	1092.437500
17	13226452992.000000	190998.468750	1064.703125
18	13153940480.000000	189951.343750	1047.125000
19	13082839040.000000	188924.593750	1026.750000
20	13012865024.000000	187914.125000	1010.468750
21	12944015360.000000	186919.890625	994.234375
22	12876151808.000000	185939.890625	980.000000
23	12809331712.000000	184974.968750	964.921875
24	12743366656.000000	184022.390625	952.578125
25	12678231040.000000	183081.796875	940.593750
26	12613906432.000000	182152.906250	928.890625
27	12550344704.000000	181235.031250	917.875000
28	12487453696.000000	180326.843750	908.187500
29	12425333760.000000	179429.796875	897.046875
30	12363706368.000000	178539.859375	889.937500
31	12302563328.000000	177656.906250	882.953125
32	12242171904.000000	176784.812500	872.093750
33	12182394880.000000	175921.593750	863.218750
34	12123113472.000000	175065.531250	856.062500
35	12064338944.000000	174216.796875	848.734375
36	12006120448.000000	173376.078125	840.718750
37	11948499968.000000	172544.000000	832.078125
38	11891281920.000000	171717.734375	826.265625
39	11834530816.000000	170898.218750	819.515625
40	11778141184.000000	170083.921875	814.296875
41	11722295296.000000	169277.468750	806.453125
42	11666966528.000000	168478.484375	798.984375
43	11612025856.000000	167685.109375	793.375000
44	11557525504.000000	166898.078125	787.031250
45	11503389696.000000	166116.328125	781.750000
46	11449697280.000000	165340.968750	775.359375
47	11396568064.000000	164573.750000	767.218750
48	11343756288.000000	163811.125000	762.625000
49	11291394048.000000	163054.968750	756.156250
50	11239300096.000000	162302.703125	752.265625
51	11187564544.000000	161555.609375	747.093750
52	11136301056.000000	160815.328125	740.281250
53	11085356032.000000	160079.656250	735.671875
54	11034878976.000000	159350.734375	728.921875
55	10984759296.000000	158626.968750	723.765625
56	10934995968.000000	157908.359375	718.609375
57	10885733376.000000	157196.968750	711.390625
58	10836717568.000000	156489.156250	707.812500
59	10788146176.000000	155787.750000	701.406250
60	10739825664.000000	155089.968750	697.781250
61	10691770368.000000	154396.031250	693.937500
62	10644237312.000000	153709.625000	686.406250
63	10596883456.000000	153025.796875	683.828125
64	10550008832.000000	152348.890625	676.906250
65	10503546880.000000	151677.953125	670.937500
66	10457314304.000000	151010.328125	667.625000
67	10411523072.000000	150349.078125	661.250000
68	10366010368.000000	149691.843750	657.234375
69	10320933888.000000	149040.906250	650.937500
70	10276089856.000000	148393.328125	647.578125
71	10231531520.000000	147749.875000	643.453125
72	10187325440.000000	147111.515625	638.359375
73	10143435776.000000	146477.718750	633.796875
74	10099845120.000000	145848.250000	629.468750
75	10056615936.000000	145223.984375	624.265625
76	10013732864.000000	144604.734375	619.250000
77	9971232768.000000	143991.000000	613.734375
78	9928956928.000000	143380.515625	610.484375
79	9887066112.000000	142775.578125	604.937500
80	9845477376.000000	142175.015625	600.562500
81	9804091392.000000	141577.375000	597.640625
82	9763111936.000000	140985.609375	591.765625
83	9722295296.000000	140396.187500	589.421875
84	9681822720.000000	139811.734375	584.453125
85	9641778176.000000	139233.468750	578.265625
86	9601951744.000000	138658.343750	575.125000
87	9562477568.000000	138088.312500	570.031250
88	9523291136.000000	137522.437500	565.875000
89	9484396544.000000	136960.765625	561.671875
90	9445847040.000000	136404.093750	556.671875
91	9407430656.000000	135849.328125	554.765625
92	9369408512.000000	135300.265625	549.062500
93	9331609600.000000	134754.437500	545.828125
94	9294015488.000000	134211.546875	542.890625
95	9256843264.000000	133674.750000	536.796875
96	9219885056.000000	133141.062500	533.687500
97	9183277056.000000	132612.406250	528.656250
98	9146957824.000000	132087.937500	524.468750
99	9110908928.000000	131567.375000	520.562500
100	9075096576.000000	131050.218750	517.156250
101	9039555584.000000	130536.984375	513.234375
102	9004248064.000000	130027.117188	509.867188
103	8969254912.000000	129521.796875	505.320312
104	8934437888.000000	129019.015625	502.781250
105	8899914752.000000	128520.484375	498.531250
106	8865716224.000000	128026.632812	493.851562
107	8831745024.000000	127536.062500	490.570312
108	8798089216.000000	127050.054688	486.007812
109	8764741632.000000	126568.492188	481.562500
110	8731601920.000000	126089.937500	478.554688
111	8698676224.000000	125614.468750	475.468750
112	8665945088.000000	125141.804688	472.664062
113	8633585664.000000	124674.515625	467.289062
114	8601379840.000000	124209.445312	465.070312
115	8569390080.000000	123747.492188	461.953125
116	8537689088.000000	123289.710938	457.781250
117	8506269184.000000	122835.984375	453.726562
118	8475166720.000000	122386.843750	449.140625
119	8444232704.000000	121940.140625	446.703125
120	8413589504.000000	121497.632812	442.507812
121	8383059968.000000	121056.765625	440.867188
122	8352841216.000000	120620.390625	436.375000
123	8322851328.000000	120187.312500	433.078125
124	8293071872.000000	119757.281250	430.031250
125	8263462400.000000	119329.703125	427.578125
126	8234148864.000000	118906.390625	423.312500
127	8205063680.000000	118486.382812	420.007812
128	8176270848.000000	118070.601562	415.781250
129	8147613696.000000	117656.773438	413.828125
130	8119281152.000000	117247.632812	409.140625
131	8091101696.000000	116840.703125	406.929688
132	8063155200.000000	116437.132812	403.570312
133	8035389952.000000	116036.187500	400.945312
134	8007864832.000000	115638.710938	397.476562
135	7980536320.000000	115244.062500	394.648438
136	7953338368.000000	114851.312500	392.750000
137	7926461440.000000	114463.187500	388.125000
138	7899804160.000000	114078.242188	384.945312
139	7873353728.000000	113696.281250	381.960938
140	7847108608.000000	113317.281250	379.000000
141	7821080576.000000	112941.421875	375.859375
142	7795158528.000000	112567.093750	374.328125
143	7769526784.000000	112196.953125	370.140625
144	7744062976.000000	111829.242188	367.710938
145	7718749696.000000	111463.695312	365.546875
146	7693680640.000000	111101.687500	362.007812
147	7668806656.000000	110742.492188	359.195312
148	7644119552.000000	110385.992188	356.500000
149	7619658752.000000	110032.765625	353.226562
150	7595321856.000000	109681.320312	351.445312
151	7571282432.000000	109334.179688	347.140625
152	7547384832.000000	108989.078125	345.101562
153	7523643904.000000	108646.250000	342.828125
154	7500115456.000000	108306.476562	339.773438
155	7476706304.000000	107968.437500	338.039062
156	7453525504.000000	107633.695312	334.742188
157	7430492160.000000	107301.078125	332.617188
158	7407691264.000000	106971.812500	329.265625
159	7385049088.000000	106644.851562	326.960938
160	7362555392.000000	106320.023438	324.828125
161	7340254720.000000	105997.992188	322.031250
162	7318203904.000000	105679.562500	318.429688
163	7296201216.000000	105361.828125	317.734375
164	7274401792.000000	105047.031250	314.796875
165	7252794368.000000	104735.007812	312.023438
166	7231291392.000000	104424.492188	310.515625
167	7210008064.000000	104117.140625	307.351562
168	7188857344.000000	103811.710938	305.429688
169	7167944704.000000	103509.718750	301.992188
170	7147133952.000000	103209.203125	300.515625
171	7126462464.000000	102910.687500	298.515625
172	7105989120.000000	102615.046875	295.640625
173	7085676544.000000	102321.718750	293.328125
174	7065501184.000000	102030.375000	291.343750
175	7045490688.000000	101741.406250	288.968750
176	7025603072.000000	101454.218750	287.187500
177	7005892608.000000	101169.585938	284.632812
178	6986325504.000000	100887.023438	282.562500
179	6966915584.000000	100606.734375	280.289062
180	6947656192.000000	100328.617188	278.117188
181	6928542208.000000	100052.593750	276.023438
182	6909550592.000000	99778.343750	274.250000
183	6890736640.000000	99506.656250	271.687500
